#,Date searched,Terms,Search engine,Title,Year published,Country of study,Continent,Language if not English,Microscopy,PCR,Mouse bioassay,Number of felids/samples,Positive felid/samples,% shedding (or reshedding),Genotypes,Strain,Length of study/sampling (months),Relevant,Topic if relevant,Freerange,Notes,Link,,,,,,,
94,2/21,toxoplasma AND cat AND shedding,WoS,Primary and secondary Toxoplasma gondii infection in normal and feline immunodeficiency virus-infected cats,1996,USA,North America,,Y,N,N,59,59,100.00,II,ME49,16,Y,Domestic-Exp,N,FiV/non FIV cats,https://www.jstor.org/stable/3283884?seq=1#metadata_info_tab_contents,,,,,,,
133,2/21,toxoplasma AND cat AND shedding,WoS,"Oocyst-induced murine toxoplasmosis: Life cycle, pathogenicity, and stage conversion in mice fed Toxoplasma gondii oocysts",1997,USA,North America,,Y,N,N,,,,III,VEG,,Y,Domestic-Exp,N,unclear about number of cats,https://europepmc.org/article/med/9379292,,,,,,,
103,2/21,toxoplasma AND cat AND shedding,WoS,Infectivity of feline enteroepithelial stages of Toxoplasma gondii isolated by Percoll-density gradient centrifugation,1999,Japan,Asia,,Y,N,N,4,4,100.00,"I, II","RH, Beverly",1,Y,Domestic-Exp,N,,https://www.sciencedirect.com/science/article/pii/S0304401799000199,,,,,,,
81,2/16,toxoplasma AND cat AND shedding,Pubmed,Detection of Toxoplasma gondii parasitemia in experimentally inoculated cats,1999,USA,North America,,Y,N,Y,5,5,100.00,II,"Maggie, Mozart",6,Y,Domestic-Exp,N,,https://www.jstor.org/stable/3285833?origin=crossref&seq=3#metadata_info_tab_contents,,,,,,,
32,2/16,toxoplasma AND cat AND shedding,Pubmed,Oocyst shedding by cats fed isolated bradyzoites and comparison of infectivity of bradyzoites of the VEG strain Toxoplasma gondii to cats and mice,2001,USA,North America,,Y,N,Y,24,13,54.17,III,VEG,1,Y,Domestic-Exp,N,,https://doi.org/10.1645/0022-3395(2001)087[0215:OSBCFI]2.0.CO;2,,,,,,,
45,2/16,toxoplasma AND cat AND shedding,Pubmed,Detection of Toxoplasma gondii in the milk of experimentally infected lactating cats,2001,USA,North America,,Y,N,N,6,6,100.00,II,"Mozart, Maggie, ME-49",3-4,Y,Domestic-Exp,N,,https://www.sciencedirect.com/science/article/pii/S0304401701005210?via%3Dihub,,,,,,,
86,2/21,toxoplasma AND cat AND shedding,WoS,Tachyzoite-induced life cycle of Toxoplasma gondii in cats,2002,USA,North America,,Y,N,N,26,13,50.00,"III, II","M7741, ME49",1,Y,Domestic-Exp,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-88/issue-4/0022-3395(2002)088[0713:TILCOT]2.0.CO;2/TACHYZOITE-INDUCED-LIFE-CYCLE-OF-TOXOPLASMA-GONDII-IN-CATS/10.1645/0022-3395(2002)088[0713:TILCOT]2.0.CO;2.full,,,,,,,
105,2/21,toxoplasma AND cat AND shedding,WoS,Low virulence of oocysts of Czech Toxoplasma gondii isolates on the basis of biological and genetic characteristics,2003,Czech Republic,Europe,,Y,N,Y,7,7,100.00,,"K19, K2, K21, K7, K25, K9, K1",1,Y,Domestic-Exp,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-89/issue-4/GE-81R/LOW-VIRULENCE-OF-OOCYSTS-OF-CZECH-TOXOPLASMA-GONDII-ISOLATES-ON/10.1645/GE-81R.full?casa_token=g9Sz7WvIcpwAAAAA%3axzQFhnNSQJAs8UAxdmWjCrzx0RmYs2tQcQg0kX535fZF9lMdZFlz-b0RdBNAbGedKt0xltuTyw,,,,,,,
17,2/16,toxoplasma AND cat AND shedding,Pubmed,Unexpected oocyst shedding by cats fed Toxoplasma gondii tachyzoites: in vivo stage conversion and strain variation,2005,USA,North America,,Y,N,N,151,94,62.25,"III, I","VEG, TgCkAr23",1,Y,Domestic-Exp,N,,https://www.sciencedirect.com/science/article/pii/S0304401705003006?via%3Dihub,,,,,,,
40,2/16,toxoplasma AND cat AND shedding,Pubmed,Comparative infectivity of oocysts and bradyzoites of Toxoplasma gondii for intermediate (mice) and definitive (cats) hosts,2006,USA,North America,,Y,N,N,41,15,3.4-36.5,I,TgCkAr23,1,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/16647212,,,,,,,
102,2/21,toxoplasma AND cat AND shedding,WoS,Anterior uveitis in a kitten infected with Toxoplasma gondii (Tehran strain),2007,Iran,Asia,,Y,N,N,7,7,100.00,II,Tehran strain,1,Y,Domestic-Exp,N,,https://www.sid.ir/en/Journal/ViewPaper.aspx?ID=61688,,,,,,,
28,2/16,toxoplasma AND cat AND shedding,Pubmed,Protective activity against oocyst shedding in cats vaccinated with crude rhoptry proteins of the Toxoplasma gondii by the intranasal route,2007,Brazil,South America,,Y,N,N,11,7,63.64,"I, III","LIV-5, VEG",0.33,Y,Domestic-Exp,N,,https://www.sciencedirect.com/science/article/pii/S0304401707000301?via%3Dihub,,,,,,,
952,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,Quantitative toxoplasma gondii oocyst detection by a modified Kato Katz test using Kinyoun staining (KKK) in ME49 strain experimentally infected cats,2008,Brazil,South America,,Y,N,N,4,4,100.00,II,ME49,1,Y,Domestic-Exp,N,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652008000300010&lng=en&nrm=iso&tlng=en,,,,,,,
50,2/16,toxoplasma AND cat AND shedding,Pubmed,A comparative analysis of coprologic diagnostic methods for detection of Toxoplama gondii in cats,2010,Israel,Asia,,Y,Y,Y,3,3,100.00,III,VEG,1.16,Y,Domestic-Exp,N,comparison of detection methods,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2861373/,,,,,,,
752,3/10,"toxoplasma, transmission, felid",Pubmed,Cats and Toxoplasma: implications for public health,2010,,,,Y,N,N,6,6,100.00,,,,Y,Domestic-Exp,N,used to find other papers,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1863-2378.2009.01273.x,,,,,,,
954,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,Development of a sensitive method for Toxoplasma gondii oocyst extraction in soil,2011,France,Europe,,Y,N,N,1,1,100.00,II,"PIG3, PRU",,Y,Domestic-Exp,N,,https://www.sciencedirect.com/science/article/pii/S0304401711004468?via%3Dihub,,,,,,,
328,2/26,"toxoplasma, felid, genotype",Pubmed,"Toxoplasma gondii sexual cross in a single naturally infected feline host: generation of highly mouse-virulent and avirulent clones, genotypically different from clonal types I, II and III",2012,Germany,Europe,,Y,N,Y,1,1,100.00,II/III,TG-GER63,,Y,Domestic-Exp,N,,https://link.springer.com/article/10.1186/1297-9716-43-39,,,,,,,
197,2/21,toxoplasma AND cat AND shedding,WoS,Methods to produce and safely work with large numbers of Toxoplasma gondii oocysts and bradyzoite cysts,2012,USA,North America,,Y,N,N,5,5,100.00,II,M4,0.5,Y,Domestic-Exp,N,,https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC4281032&blobtype=pdf,,,,,,,
24,2/16,toxoplasma AND cat AND shedding,Pubmed,Oocyst shedding in cats vaccinated by the nasal and rectal routes with crude rhoptry proteins of Toxoplasma gondii,2012,Brazil,South America,,Y,N,N,25,25,100.00,"I, II","LIV-5, ME49",1,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/22542988,,,,,,,
117,2/21,toxoplasma AND cat AND shedding,WoS,Serial Monoxenous Transmission of Toxoplasma gondii in Cats,2013,USA,North America,,Y,N,N,5,1,20.00,II,"ME49, Dubey",,Y,Domestic-Exp,N,"trial to isolate strain ME49, Beverly, Dubey",https://bioone.org/journals/Journal-of-Parasitology/volume-99/issue-6/13-280.1/Serial-Monoxenous-Transmission-of-Toxoplasma-gondii-in-Cats/10.1645/13-280.1.full?casa_token=gEmx6Uawz0gAAAAA%3aG4HlIVlW5HPiTSDoPbQLeDrgdCYk1K-SA2Yo6wRGm6ubCNK0My7x-cAcoQm1nmoqWpeProdbVQ,,,,,,,
127,2/21,toxoplasma AND cat AND shedding,WoS,An Experimental Toxoplasma gondii Dose Response Challenge Model to Study Therapeutic or Vaccine Efficacy in Cats,2014,Netherlands,Europe,,Y,Y,N,15,15,100.00,II,M4,4,Y,Domestic-Exp,N,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0104740&type=printable,,,,,,,
342,2/28,"toxoplasma, felid, genotype",Pubmed,Geographic separation of domestic and wild strains of Toxoplasma gondii in French Guiana correlates with a monomorphic version of chromosome1a,2014,French Guiana,South America,,Y,N,Y,14,7,50.00,"#1, #2, #3","TgA18020, 18028, 18012, 18003, 18006, TgH18007, 18008",,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169257/,,,,,,,
30,2/16,toxoplasma AND cat AND shedding,Pubmed,Effect of oral administration of cyclosporine on Toxoplasma gondii infection status of cats,2015,USA,North America,,Y,N,N,30,30,100.00,II,Mozart,4.5,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/25815576,,,,,,,
3,2/16,toxoplasma AND cat AND shedding,Pubmed,Detection of Toxoplasma gondii DNA by qPCR in the feces of a cat that recently ingested infected prey does not necessarily imply oocyst shedding,2016,USA,North America,,N,Y,N,1,0,0.00,II,ME49,0.26,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/27449050,,,,,,,
710,3/10,"toxoplasma, transmission, felid",Pubmed,Molecular investigation on the occurrence of Toxoplasma gondii oocysts in cat feces using TOX-element and ITS-1 region targets,2016,Thailand,Asia,,Y,Y,N,254,12,4.72,,,8,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/27325616,,,,,,,
1021,3/14,,Reference search,rROP2 from Toxoplasma gondii as a potential vaccine against oocyst shedding in domestic cats,2017,USA,North America,,Y,Y,N,12,12,100.00,"I, II","RH, ME49",4.33,Y,Domestic-Exp,N,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612017000100067&lng=en&nrm=iso&tlng=en,,,,,,,
47,2/16,toxoplasma AND cat AND shedding,Pubmed,Evaluation of immunogenicity and protection of the Mic1-3 knockout Toxoplasma gondii live attenuated strain in the feline host,2020,France,Europe,,Y,N,N,9,9,100.00,III,T263,5,Y,Domestic-Exp,N,vaccine study,https://www.sciencedirect.com/science/article/pii/S0264410X19316305?via%3Dihub,,,,,,,
1078,2/2/21,"toxoplasma, cat, shedding",Pubmed,Antibody kinetics and exposure to Toxoplasma gondii in cats: a seroepidemiological study,2020,Switzerland,Europe,,Y,N,N,6,4,66.67,,,1,Y,Domestic-Exp,N,,https://www.zora.uzh.ch/id/eprint/194053/1/194053.pdf,,,,,,,
991,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Toxoplasma gondii oocysts in the faeces of naturally infected cat,1973,Italy,Europe,,Y,N,Y,250,1,0.40,,,,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1589199/?page=1,,,,,,,
997,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Sarcocystis in mice inoculated with toxoplasma-like oocysts from cat feces,1973,USA,North America,,Y,N,Y,1,1,100.00,,,,Y,Domestic-FR,Y,experimental cats not specified,https://www.ncbi.nlm.nih.gov/pubmed/4196874,,,,,,,
1037,3/24,,Reference search,The role of the cat in the natural history of Toxoplasma gondii,1973,USA,North America,,Y,N,Y,1604,12,0.75,,,24,Y,Domestic-FR,Y,exp,https://www.ajtmh.org/content/journals/10.4269/ajtmh.1973.22.313,,,,,,,
999,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Small type of Isospora bigemina: isolation from naturally infected cats and relations with toxoplasma oocyst,1974,Japan,Asia,,Y,N,N,446,4,0.90,,,,Y,Domestic-FR,Y,,https://www.cabdirect.org/cabdirect/abstract/19752900955,,,,,,,
493,3/8,"toxoplasma, felid, species",Pubmed,Observations on a feline coccidium with some characteristics of Toxoplasma and Sarcocystis,1975,USA,North America,,Y,N,Y,1,1,100.00,,,,Y,Domestic-FR,Y,"exp, Oocysts similar to toxo, not pcr confirmed",https://link.springer.com/content/pdf/10.1007/BF00389874.pdf,,,,,,,
49,2/16,toxoplasma AND cat AND shedding,Pubmed,Toxoplasma infection of stray cats in Egypt,1976,Egypt,Africa,,Y,N,Y,33,8,24.24,,,,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/1263297,,,,,,,
930,3/10,"toxoplasma, transmission, felid",Pubmed,Isolation of Toxoplasma gondii strains from faeces of stray cats in Czechoslovakia (author's transl),1977,Czech Republic,Europe,,Y,N,Y,91,4,4.40,,,12,Y,Domestic-FR,Y,,,,,,,,,
990,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Examination of cats for the elimination of Toxoplasma gondii oocysts,1979,Czech Republic,Europe,,Y,N,Y,202,1,0.50,,,,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/105452,,,,,,,
29,2/16,toxoplasma AND cat AND shedding,Pubmed,Toxoplasma gondii in Costa Rican cats,1980,Costa Rica,North America,,Y,N,Y,237,55,23.21,,,,Y,Domestic-FR,Y,repeat,https://www.ajtmh.org/docserver/fulltext/14761645/29/6/TM0290061150.pdf?expires=1584996756&id=id&accname=12217&checksum=C72421768694B36FD8CE960833BCBF6C,,,,,,,
67,2/16,toxoplasma AND cat AND shedding,Pubmed,"Toxoplasma gondii infection of cats in Beirut, Lebanon",1985,Lebanon,Asia,,Y,N,N,313,31,9.90,,,35,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/3915329,,,,,,,
1006,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Detection of Toxoplasma cysts and oocysts in an urban environment in a developed country,1985,Australia,Australia,,Y,N,Y,115,0,0.00,,,,Y,Domestic-FR,Y,,https://www.tandfonline.com/doi/abs/10.3109/00313028509105508,,,,,,,
966,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Incidence of Toxoplasma gondii oocysts in cat feces,1986,Czech Republic,Europe,Czech,Y,N,N,620,8,1.29,,,30,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/3095977,,,,,,,
542,3/8,"toxoplasma, felid, species",Pubmed,"Epidemiologic observations on infection with Toxoplasma gondii in three species of urban mammals from Baltimore, Maryland, USA",1986,USA,North America,,Y,N,N,650,3,0.46,,,,Y,Domestic-FR,Y,Toxoplasma like oocysts,https://www.ncbi.nlm.nih.gov/pubmed/3557837,,,,,,,
918,3/10,"toxoplasma, transmission, felid",Pubmed,Epizootiologic investigations on a sheep farm with Toxoplasma gondii-induced abortions,1986,USA,North America,,Y,N,N,16,1,6.25,,,,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/3700210,,,,,,,
1056,3/31,,Reference search,Survey on Toxoplasma infection in stray cats in western area of Japan during a two-year period,1990,Japan,Asia,,Y,N,Y,335,1,0.2985074627,,,24,Y,Domestic-FR,Y,,https://www.cabdirect.org/cabdirect/abstract/19920878585,,,,,,,
1070,4/6,,Reference search,An investigation of the potential for spread of Sarcocystis spp. and other parasites by feral cats,1990,New Zealand,Australia,,Y,N,N,63,0,0,,,,Y,Domestic-FR,Y,,https://www.tandfonline.com/doi/abs/10.1080/00288233.1990.10428439,,,,,,,
1071,4/6,,Reference search,"Situación de losooquistes de Toxoplasma gondii en heces de gatos del Distrito Federal, México",1990,Mexico,North America,Spanish,Y,N,N,200,0,0,,,,Y,Domestic-FR,Y,,,,,,,,,
510,3/8,"toxoplasma, felid, species",Pubmed,Helminth and protozoan parasites in dogs and cats in Belgium,1991,Belgium,Europe,,Y,N,N,30,0,0.00,,,,Y,Domestic-FR,Y,,https://www.sciencedirect.com/science/article/pii/030440179190010S,,,,,,,
1055,3/31,,Reference search,Toxoplasma and other intestinal coccidia in cats in Maharashtra (Parbhani),1992,India,Asia,,Y,N,Y,9,1,11.11111111,,,,Y,Domestic-FR,Y,,,,,,,,,
528,3/8,"toxoplasma, felid, species",Pubmed,"Transmission of Toxoplasma gondii in Panama City, Panama: a five-year prospective cohort study of children, cats, rodents, birds, and soil",1995,Panama,North America,,Y,N,Y,383,2,0.52,,,60,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/7485703,,,,,,,
550,3/8,"toxoplasma, felid, species",Pubmed,Sources and reservoirs of Toxoplasma gondii infection on 47 swine farms in Illinois,1995,USA,North America,,Y,N,Y,274,5,1.82,,,24,Y,Domestic-FR,Y,1.80%,https://www.ncbi.nlm.nih.gov/pubmed/7472862,,,,,,,
1057,3/31,,Reference search,Estudio sobre la frecuencia del ooquiste de Toxoplasma gondii en el gato domestico del distrito federal,1997,Mexico,North America,Spanish,Y,N,Y,200,14,7,,,,Y,Domestic-FR,Y,,,,,,,,,
1060,3/31,,Reference search,Infeccion por Toxoplasma gondii en gatos de dos barrios del sur de Armenia y su importancia en la toxoplasmosis humana,1998,Colombia,South America,Spanish,Y,N,N,18,12,66.66666667,,,,Y,Domestic-FR,Y,,,,,,,,,
71,2/16,toxoplasma AND cat AND shedding,Pubmed,A field trial of the effectiveness of a feline Toxoplasma gondii vaccine in reducing T. gondii exposure for swine,1999,USA,North America,,Y,N,N,179,11,6.15,,,36,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/10577720,,,,,,,
981,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,"Prevalence of antibodies to Toxoplasma gondii and intestinal parasites in stray, farm and household cats in Spain",2004,Spain,Europe,,Y,N,N,382,0,0.00,,,,Y,Domestic-FR,Y,,https://www.sciencedirect.com/science/article/abs/pii/S0304401704004121,,,,,,,
1054,3/31,,Reference search,Infections with helminths and/or protozoa in cats in animal shelters in the Netherlands,2004,Netherlands,Europe,,Y,N,N,305,1,0.3278688525,,,,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/14737808,,,,,,,
529,3/8,"toxoplasma, felid, species",Pubmed,Transmission of Toxoplasma gondii in an urban population of domestic cats (Felis catus),2006,France,Europe,,Y,N,N,322,0,0.00,,,120,Y,Domestic-FR,Y,,https://www.sciencedirect.com/science/article/pii/S0020751906002876,,,,,,,
20,2/16,toxoplasma AND cat AND shedding,Pubmed,"Toxoplasma gondii infection in cats from São Paulo state, Brazil: seroprevalence, oocyst shedding, isolation in mice, and biologic and molecular characterization",2006,Brazil,South America,,Y,N,Y,237,3,1.27,"I, III",TgCatBr85-87,12,Y,Domestic-FR,Y,,https://www.sciencedirect.com/science/article/pii/S0034528805001694?via%3Dihub,,,,,,,
355,2/28,"toxoplasma, felid, genotype",Pubmed,"Prevalence of Toxoplasma gondii in cats from Colombia, South America and genetic characterization of T. gondii isolates",2006,Colombia,South America,,Y,N,Y,170,0,0.00,,,7,Y,Domestic-FR,Y,,https://www.sciencedirect.com/science/article/pii/S0304401706002822,,,,,,,
380,2/28,"toxoplasma, felid, genotype",Pubmed,Genetic and biologic characterization of Toxoplasma gondii isolates of cats from China,2007,China,Asia,,Y,N,Y,26,0,0.00,"#11, #13, #9, #18",TgCtPRC 1–17 cat bioassay,,Y,Domestic-FR,Y,"no shedding, yes bioassay",https://www.sciencedirect.com/science/article/pii/S0304401706007047?via%3Dihub,,,,,,,
994,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,The development of a molecular approach for coprodiagnosis of Toxoplasma gondii,2007,Israel,Asia,,Y,Y,N,122,11,9.02,,,,Y,Domestic-FR,Y,"positive by PCR, none microscopy",https://www.ncbi.nlm.nih.gov/pubmed/17395378,,,,,,,
1072,4/6,,Reference search,Toxoplasma gondii infection in stray cats,2007,Iran,Asia,,Y,N,N,50,0,0,,,,Y,Domestic-FR,Y,,http://ijpa.tums.ac.ir/index.php/ijpa/article/view/13,,,,,,,
352,2/28,"toxoplasma, felid, genotype",Pubmed,"Mouse-virulent Toxoplasma gondii isolated from feral cats on Mona Island, Puerto Rico",2007,USA,North America,,Y,N,Y,6,0,0.00,,,16,Y,Domestic-FR,Y,"cat bioassay in 7 more cats shed II, I, atypical, mixed",https://bioone.org/journals/Journal-of-Parasitology/volume-93/issue-6/GE-1409.1/MOUSE-VIRULENT-TOXOPLASMA-GONDII-ISOLATED-FROM-FERAL-CATS-ON-MONA/10.1645/GE-1409.1.full,,,,,,,
1066,4/6,,Reference search,"Prevalence of Toxoplasma gondii antibodies and intestinal parasites in stray cats from Nigde, Turkey",2008,Turkey,Asia,,Y,N,N,72,0,0,,,,Y,Domestic-FR,Y,,https://www.tandfonline.com/doi/abs/10.4081/ijas.2008.113,,,,,,,
982,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,"Prevalence of Toxoplasma gondii antibodies in stray cats in Sari, northern Iran",2009,Iran,Asia,,Y,N,N,100,0,0.00,,,,Y,Domestic-FR,Y,,https://link.springer.com/article/10.1007/s11250-008-9173-y,,,,,,,
382,2/28,"toxoplasma, felid, genotype",Pubmed,"Isolation and characterization of viable Toxoplasma gondii isolates revealed possible high frequency of mixed infection in feral cats ( Felis domesticus) from St Kitts, West Indies",2009,Saint Kitts,North America,,Y,N,Y,51,0,0.00,,,24,Y,Domestic-FR,Y,no shedding,https://www.cambridge.org/core/journals/parasitology/article/isolation-and-characterization-of-viable-toxoplasma-gondii-isolates-revealed-possible-high-frequency-of-mixed-infection-in-feral-cats-felis-domesticus-from-st-kitts-west-indies/72B79375609FEFC9BC2EA97B3981B09C,,,,,,,
57,2/16,toxoplasma AND cat AND shedding,Pubmed,Cross-sectional survey of Toxoplasma gondii infection in colony cats from urban Florence (Italy),2010,Italy,Europe,,N,Y,N,50,8,16.00,,,,Y,Domestic-FR,Y,serologically negative cats likely to shed?,https://journals.sagepub.com/doi/full/10.1016/j.jfms.2009.09.001?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed&,,,,,,,
583,3/8,"toxoplasma, felid, species",Pubmed,"A survey study on gastrointestinal parasites of stray cats in northern region of Nile delta, Egypt",2011,Egypt,Africa,,Y,N,N,113,10,8.849557522,,,5,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/21760884,,,,,,,
96,2/21,toxoplasma AND cat AND shedding,WoS,"Prevalence of Toxoplasma gondii antibodies in cats in Urmia, northwest of Iran",2011,Iran,Asia,,Y,N,N,130,3,2.31,,,27,Y,Domestic-FR,Y,domes,https://www.researchgate.net/profile/Saber_Raeghi/publication/253926333_Prevalence_of_Toxoplasma_gondii_antibodies_in_cats_in_Urmia_northwest_of_Iran/links/545a67530cf2c16efbbb0828/Prevalence-of-Toxoplasma-gondii-antibodies-in-cats-in-Urmia-northwest-of-Iran.pdf,,,,,,,
1023,3/23,,Reference search,"Infectious disease prevalence in a feral cat population on Prince Edward Island, Canada",2011,Canada,North America,,Y,N,N,78,1,1.28,,,6,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3157072/,,,,,,,
1003,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence of endoparasites in stray and fostered dogs and cats in Northern Germany,2012,Germany,Europe,,Y,N,N,837,6,0.72,,,24,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/22526289,,,,,,,
44,2/16,toxoplasma AND cat AND shedding,Pubmed,Genetic diversity of Toxoplasma gondii isolates from Ethiopian feral cats,2013,Ethiopian,Africa,,Y,Y,N,48,7,14.58,"II, III, ToxoDB #3 (type II variant) , ToxoDB #9","ToxoDB #1, ToxoDB #2, Toxo DB #3, and ToxoDB #20",3-4,Y,Domestic-FR,Y,mixed strain infection,https://www.ncbi.nlm.nih.gov/pubmed/23411374,,,,,,,
953,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,"Isolation of viable Toxoplasma gondii from tissues and feces of cats from Addis Ababa, Ethiopia",2013,Ethiopia,Africa,,Y,N,Y,36,7,19.44,"#7, #4, #16, #80, #31, #54, ","TgCatEt2b, 3a, 3b, 6a, 6b, 7a, 7b, 8a, 8b, 10a, 12a, 12b, ",1,Y,Domestic-FR,Y,,https://doi.org/10.1645/GE-3229.1,,,,,,,
603,3/8,"toxoplasma, felid, species",Pubmed,Enteric protozoan parasites in stray cats in Kuwait with special references to toxoplasmosis and risk factors affecting its occurrence,2013,Kuwait,Asia,,Y,N,N,240,5,2.083333333,,,,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/24260809,,,,,,,
592,3/8,"toxoplasma, felid, species",Pubmed,Prevalence of faecal-borne parasites in colony stray cats in northern Italy,2013,Italy,Europe,,Y,N,N,139,0,0,,,24,Y,Domestic-FR,Y,,https://journals.sagepub.com/doi/full/10.1177/1098612X12473467,,,,,,,
8,2/16,toxoplasma AND cat AND shedding,Pubmed,"High prevalence of Toxoplasma gondii oocyst shedding in stray and pet cats (Felis catus) in Virginia, United States",2013,USA,North America,,Y,Y,N,49,3,6.12,,,,Y,Domestic-FR,Y,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-6-266,,,,,,,
968,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,"Feline patent Toxoplasma-like coccidiosis among feral cats (Felis catus) in Doha city, Qatar and its immediate surroundings",2014,Qatar,Asia,,Y,N,N,4652,425,9.14,,,22,Y,Domestic-FR,Y,t gondii like,https://www.ncbi.nlm.nih.gov/pubmed/25119351,,,,,,,
278,2/24,"toxoplasma, felid, genotype",Pubmed,"Toxoplasma gondii B1 Gene Detection in Feces of Stray Cats around Seoul, Korea and Genotype Analysis of Two Laboratory-Passaged Isolates",2015,Korea,Asia,,N,Y,Y,300,14,4.67,II,"KNIH-1, KNIH-2",3,Y,Domestic-FR,Y,methodology for detecting oocysts not familiar,https://www.ncbi.nlm.nih.gov/pubmed/26174818,,,,,,,
83,2/17,toxoplasma AND cat AND shedding,WoS,"Prevalence of Toxoplasma gondii antibody and oocyst shedding in stray cats of Khorramabad City, West of Iran 2014",2015,Iran,Asia,Arabic,Y,N,N,125,0,0,,,,Y,Domestic-FR,Y,oocysts found to be Isopora,http://yafte.lums.ac.ir/article-1-2302-en.html,,,,,,,
354,2/28,"toxoplasma, felid, genotype",Pubmed,Isolation and genetic characterization of viable Toxoplasma gondii from tissues and feces of cats from the central region of China,2015,China,Asia,,Y,N,Y,360,1,0.28,ToxoDB #1,TgCatCHn4,,Y,Domestic-FR,Y,,https://linkinghub.elsevier.com/retrieve/pii/S0304-4017(15)00242-3,,,,,,,
964,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence and Risk Factors of Intestinal Parasites in Cats from China,2015,China,Asia,,Y,N,N,360,11,3.06,,,12,Y,Domestic-FR,Y,,https://www.hindawi.com/journals/bmri/2015/967238/,,,,,,,
280,2/24,"toxoplasma, felid, genotype",Pubmed,"Isolation and characterization of Toxoplasma gondii strains from stray cats revealed a single genotype in Beijing, China",2016,China,Asia,,Y,N,N,35,0,0.00,,,10,Y,Domestic-FR,Y,,https://www.sciencedirect.com/science/article/pii/S0304401712000453,,,,,,,
633,3/9,"toxoplasma, transmission, felid",WoS,"Detection of Echinococcus multilocularis and other foodborne parasites in fox, cat and dog faeces collected in kitchen gardens in a highly endemic area for alveolar echinococcosis",2017,France,Europe,,N,Y,N,125,2,1.6,,,19,Y,Domestic-FR,Y,,https://www.parasite-journal.org/articles/parasite/pdf/2017/01/parasite170062.pdf,,,,,,,
12,2/16,toxoplasma AND cat AND shedding,Pubmed,Study of prevalence of Toxoplasma gondii oocysts in the cats of Nouakchott,2017,Mauritania,Africa,French,Y,N,N,100,23,23.00,,,,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/29052122,,,,,,,
